customer_id,name,email,city,signup_date
1,Customer_1,customer1@example.com,Bangalore,2025-02-02 07:05:07.911360
2,Customer_2,customer2@example.com,Delhi,2024-07-14 07:05:07.911378
3,Customer_3,customer3@example.com,Pune,2024-10-29 07:05:07.911382
4,Customer_4,customer4@example.com,Bangalore,2025-04-29 07:05:07.911385
5,Customer_5,customer5@example.com,Delhi,2023-10-27 07:05:07.911386
6,Customer_6,customer6@example.com,Mumbai,2024-10-18 07:05:07.911388
7,Customer_7,customer7@example.com,Bangalore,2024-03-22 07:05:07.911390
8,Customer_8,customer8@example.com,Mumbai,2024-08-01 07:05:07.911392
9,Customer_9,customer9@example.com,Bangalore,2025-05-01 07:05:07.911394
10,Customer_10,customer10@example.com,Pune,2026-03-08 07:05:07.911396
11,Customer_11,customer11@example.com,Mumbai,2026-01-08 07:05:07.911398
12,Customer_12,customer12@example.com,Bangalore,2023-12-08 07:05:07.911400
13,Customer_13,customer13@example.com,Mumbai,2024-04-18 07:05:07.911401
14,Customer_14,customer14@example.com,Chennai,2025-09-01 07:05:07.911403
15,Customer_15,customer15@example.com,Delhi,2025-05-04 07:05:07.911405
16,Customer_16,customer16@example.com,Chennai,2025-01-17 07:05:07.911407
17,Customer_17,customer17@example.com,Pune,2025-09-21 07:05:07.911408
18,Customer_18,customer18@example.com,Mumbai,2024-02-20 07:05:07.911410
19,Customer_19,customer19@example.com,Pune,2024-09-16 07:05:07.911411
20,Customer_20,customer20@example.com,Bangalore,2025-06-14 07:05:07.911414
21,Customer_21,customer21@example.com,Pune,2025-04-04 07:05:07.911416
22,Customer_22,customer22@example.com,Pune,2024-08-09 07:05:07.911418
23,Customer_23,customer23@example.com,Chennai,2025-01-20 07:05:07.911419
24,Customer_24,customer24@example.com,Mumbai,2024-12-15 07:05:07.911421
25,Customer_25,customer25@example.com,Mumbai,2024-08-30 07:05:07.911422
26,Customer_26,customer26@example.com,Bangalore,2025-03-19 07:05:07.911424
27,Customer_27,customer27@example.com,Chennai,2024-04-25 07:05:07.911426
28,Customer_28,customer28@example.com,Pune,2024-01-03 07:05:07.911428
29,Customer_29,customer29@example.com,Chennai,2023-12-06 07:05:07.911430
30,Customer_30,customer30@example.com,Mumbai,2025-10-20 07:05:07.911431
31,Customer_31,customer31@example.com,Bangalore,2025-08-11 07:05:07.911433
32,Customer_32,customer32@example.com,Delhi,2025-12-26 07:05:07.911434
33,Customer_33,customer33@example.com,Pune,2025-07-01 07:05:07.911436
34,Customer_34,customer34@example.com,Chennai,2024-07-17 07:05:07.911437
35,Customer_35,customer35@example.com,Pune,2025-11-16 07:05:07.911439
36,Customer_36,customer36@example.com,Pune,2024-09-22 07:05:07.911440
37,Customer_37,customer37@example.com,Mumbai,2025-07-06 07:05:07.911442
38,Customer_38,customer38@example.com,Chennai,2024-01-29 07:05:07.911444
39,Customer_39,customer39@example.com,Delhi,2025-04-19 07:05:07.911446
40,Customer_40,customer40@example.com,Mumbai,2025-08-30 07:05:07.911447
41,Customer_41,customer41@example.com,Pune,2025-04-21 07:05:07.911449
42,Customer_42,customer42@example.com,Mumbai,2025-08-12 07:05:07.911451
43,Customer_43,customer43@example.com,Mumbai,2023-12-17 07:05:07.911452
44,Customer_44,customer44@example.com,Mumbai,2025-09-03 07:05:07.911454
45,Customer_45,customer45@example.com,Bangalore,2025-01-29 07:05:07.911455
46,Customer_46,customer46@example.com,Delhi,2025-08-17 07:05:07.911456
47,Customer_47,customer47@example.com,Chennai,2025-07-15 07:05:07.911458
48,Customer_48,customer48@example.com,Chennai,2024-10-04 07:05:07.911459
49,Customer_49,customer49@example.com,Pune,2023-10-13 07:05:07.911461
50,Customer_50,customer50@example.com,Delhi,2023-08-07 07:05:07.911462
51,Customer_51,customer51@example.com,Delhi,2025-03-20 07:05:07.911464
52,Customer_52,customer52@example.com,Pune,2025-06-12 07:05:07.911465
53,Customer_53,customer53@example.com,Pune,2025-06-06 07:05:07.911467
54,Customer_54,customer54@example.com,Mumbai,2023-08-01 07:05:07.911469
55,Customer_55,customer55@example.com,Chennai,2025-11-30 07:05:07.911470
56,Customer_56,customer56@example.com,Mumbai,2026-02-25 07:05:07.911472
57,Customer_57,customer57@example.com,Bangalore,2023-10-14 07:05:07.911473
58,Customer_58,customer58@example.com,Delhi,2025-06-30 07:05:07.911474
59,Customer_59,customer59@example.com,Delhi,2024-10-03 07:05:07.911476
60,Customer_60,customer60@example.com,Delhi,2026-02-23 07:05:07.911478
61,Customer_61,customer61@example.com,Bangalore,2024-09-04 07:05:07.911479
62,Customer_62,customer62@example.com,Chennai,2025-08-22 07:05:07.911481
63,Customer_63,customer63@example.com,Delhi,2025-03-16 07:05:07.911482
64,Customer_64,customer64@example.com,Chennai,2023-10-31 07:05:07.911484
65,Customer_65,customer65@example.com,Bangalore,2024-05-31 07:05:07.911486
66,Customer_66,customer66@example.com,Bangalore,2025-01-29 07:05:07.911488
67,Customer_67,customer67@example.com,Delhi,2024-11-25 07:05:07.911489
68,Customer_68,customer68@example.com,Delhi,2024-09-01 07:05:07.911491
69,Customer_69,customer69@example.com,Pune,2024-09-04 07:05:07.911492
70,Customer_70,customer70@example.com,Bangalore,2024-08-07 07:05:07.911493
71,Customer_71,customer71@example.com,Pune,2025-10-06 07:05:07.911495
72,Customer_72,customer72@example.com,Pune,2025-05-18 07:05:07.911496
73,Customer_73,customer73@example.com,Chennai,2025-07-10 07:05:07.911498
74,Customer_74,customer74@example.com,Chennai,2024-07-12 07:05:07.911499
75,Customer_75,customer75@example.com,Pune,2025-10-30 07:05:07.911501
76,Customer_76,customer76@example.com,Mumbai,2026-04-04 07:05:07.911502
77,Customer_77,customer77@example.com,Chennai,2024-07-22 07:05:07.911504
78,Customer_78,customer78@example.com,Pune,2026-02-23 07:05:07.911505
79,Customer_79,customer79@example.com,Pune,2023-08-22 07:05:07.911507
80,Customer_80,customer80@example.com,Delhi,2025-07-10 07:05:07.911508
81,Customer_81,customer81@example.com,Bangalore,2024-07-11 07:05:07.911510
82,Customer_82,customer82@example.com,Chennai,2024-06-16 07:05:07.911511
83,Customer_83,customer83@example.com,Mumbai,2025-01-08 07:05:07.911513
84,Customer_84,customer84@example.com,Mumbai,2026-03-21 07:05:07.911515
85,Customer_85,customer85@example.com,Chennai,2024-05-13 07:05:07.911516
86,Customer_86,customer86@example.com,Chennai,2025-09-02 07:05:07.911518
87,Customer_87,customer87@example.com,Pune,2024-03-17 07:05:07.911519
88,Customer_88,customer88@example.com,Delhi,2025-05-01 07:05:07.911520
89,Customer_89,customer89@example.com,Chennai,2025-08-05 07:05:07.911522
90,Customer_90,customer90@example.com,Delhi,2025-04-20 07:05:07.911523
91,Customer_91,customer91@example.com,Mumbai,2025-06-13 07:05:07.911525
92,Customer_92,customer92@example.com,Chennai,2024-01-29 07:05:07.911527
93,Customer_93,customer93@example.com,Mumbai,2025-05-15 07:05:07.911531
94,Customer_94,customer94@example.com,Delhi,2025-11-25 07:05:07.911533
95,Customer_95,customer95@example.com,Bangalore,2025-01-06 07:05:07.911534
96,Customer_96,customer96@example.com,Mumbai,2024-06-18 07:05:07.911536
97,Customer_97,customer97@example.com,Delhi,2025-02-13 07:05:07.911537
98,Customer_98,customer98@example.com,Mumbai,2023-08-07 07:05:07.911539
99,Customer_99,customer99@example.com,Delhi,2023-09-12 07:05:07.911540
100,Customer_100,customer100@example.com,Pune,2026-01-06 07:05:07.911542
